scenario,seed,method,mc_revenue,analytical_R
1,6,random_valid,106261.5150,76858.8474
1,6,perimeter_only,104453.6716,77053.0036
1,6,popularity_rank,105342.4791,76261.7813
1,6,greedy_swap,105427.9313,76885.6764
1,6,oracle,107146.6205,78124.5248
1,6,random_search,106713.3958,76901.1126
1,6,simulated_annealing,106952.8537,77072.1359
1,6,GA,107364.7601,77271.0615
1,7,random_valid,106618.2353,76858.8474
1,7,perimeter_only,105327.8811,77053.0036
1,7,popularity_rank,105205.2817,76261.7813
1,7,greedy_swap,105372.5319,76885.6764
1,7,oracle,107211.5232,78124.5248
1,7,random_search,107013.9325,76940.9118
1,7,simulated_annealing,106625.2893,76593.5012
1,7,GA,107185.0916,76721.0414
1,8,random_valid,106762.2641,76858.8474
1,8,perimeter_only,105428.7692,77053.0036
1,8,popularity_rank,106072.6583,76261.7813
1,8,greedy_swap,106217.4547,76885.6764
1,8,oracle,107945.1131,78124.5248
1,8,random_search,107168.3906,76572.2835
1,8,simulated_annealing,106733.0178,76582.6800
1,8,GA,107802.5872,77208.5743
1,9,random_valid,106184.4790,76858.8474
1,9,perimeter_only,105519.8477,77053.0036
1,9,popularity_rank,105379.9566,76261.7813
1,9,greedy_swap,105675.8194,76885.6764
1,9,oracle,107044.5903,78124.5248
1,9,random_search,107208.9701,77000.8914
1,9,simulated_annealing,106874.2769,76544.4627
1,9,GA,107516.2279,77364.2663
2,0,random_valid,90365.2601,60029.2062
2,0,perimeter_only,89494.5559,61087.5350
2,0,popularity_rank,89751.5536,60507.7093
2,0,greedy_swap,89633.1089,60774.0754
2,0,oracle,91124.0625,61467.1139
2,0,random_search,91280.0721,61064.4044
2,0,simulated_annealing,90455.9062,60527.6757
2,0,GA,91208.9507,61037.9119
2,1,random_valid,90437.7226,60029.2062
2,1,perimeter_only,89898.9957,61087.5350
2,1,popularity_rank,89796.6516,60507.7093
2,1,greedy_swap,89894.7741,60774.0754
2,1,oracle,91157.6532,61467.1139
2,1,random_search,90785.2506,60297.9269
2,1,simulated_annealing,90306.2458,59849.4985
2,1,GA,90870.2461,60997.1858
2,2,random_valid,90397.7229,60029.2062
2,2,perimeter_only,90371.4050,61087.5350
2,2,popularity_rank,90898.0846,60507.7093
2,2,greedy_swap,90924.1817,60774.0754
2,2,oracle,91134.0030,61467.1139
2,2,random_search,91008.3651,59770.5983
2,2,simulated_annealing,91328.8655,61052.9710
2,2,GA,91671.8465,60985.3351
2,3,random_valid,90252.6125,60029.2062
2,3,perimeter_only,89521.6351,61087.5350
2,3,popularity_rank,89758.2575,60507.7093
2,3,greedy_swap,89808.0444,60774.0754
2,3,oracle,90024.8687,61467.1139
2,3,random_search,90083.1964,60769.4775
2,3,simulated_annealing,89780.2160,60729.8719
2,3,GA,91112.2891,60972.2079
2,4,random_valid,90638.6561,60029.2062
2,4,perimeter_only,89581.2612,61087.5350
2,4,popularity_rank,89502.9958,60507.7093
2,4,greedy_swap,89677.5260,60774.0754
2,4,oracle,91354.1448,61467.1139
2,4,random_search,91133.1970,59972.0011
2,4,simulated_annealing,90843.6619,60663.6196
2,4,GA,91578.5067,60964.5355
2,5,random_valid,90984.9704,60029.2062
2,5,perimeter_only,90270.3856,61087.5350
2,5,popularity_rank,90560.7704,60507.7093
2,5,greedy_swap,90485.9108,60774.0754
2,5,oracle,91452.3122,61467.1139
2,5,random_search,91998.5518,61064.0308
2,5,simulated_annealing,91528.9400,60901.6255
2,5,GA,91566.0418,60076.1804
2,6,random_valid,90747.2392,60029.2062
2,6,perimeter_only,89966.5485,61087.5350
2,6,popularity_rank,90264.1654,60507.7093
2,6,greedy_swap,90324.3267,60774.0754
2,6,oracle,91138.3725,61467.1139
2,6,random_search,91340.9427,60277.6302
2,6,simulated_annealing,91253.7771,61123.0937
2,6,GA,91356.8398,61125.6823
2,7,random_valid,90661.3726,60029.2062
2,7,perimeter_only,90144.3142,61087.5350
2,7,popularity_rank,90146.0228,60507.7093
2,7,greedy_swap,90321.5808,60774.0754
2,7,oracle,90822.1718,61467.1139
2,7,random_search,90685.8650,59902.6915
2,7,simulated_annealing,90731.0296,60571.1553
2,7,GA,90967.9056,60183.1349
2,8,random_valid,90970.4357,60029.2062
2,8,perimeter_only,90261.0804,61087.5350
2,8,popularity_rank,90271.8780,60507.7093
2,8,greedy_swap,90297.5477,60774.0754
2,8,oracle,90955.7373,61467.1139
2,8,random_search,90943.2158,60817.9349
2,8,simulated_annealing,90908.2469,60642.2957
2,8,GA,90848.1557,59944.3972
2,9,random_valid,90406.2634,60029.2062
2,9,perimeter_only,89497.7943,61087.5350
2,9,popularity_rank,90137.3591,60507.7093
2,9,greedy_swap,90056.4804,60774.0754
2,9,oracle,90627.6340,61467.1139
2,9,random_search,90736.1476,59940.1525
2,9,simulated_annealing,90312.6343,59881.1046
2,9,GA,90992.9193,60008.4047
3,0,random_valid,73773.7013,54756.7807
3,0,perimeter_only,73589.5900,55294.4831
3,0,popularity_rank,73588.5897,54850.2028
3,0,greedy_swap,73624.8805,54944.5434
3,0,oracle,74392.7107,55757.8726
3,0,random_search,74873.2192,55046.0239
3,0,simulated_annealing,74849.4632,54733.9703
3,0,GA,75168.7139,54928.8979
3,1,random_valid,73705.8415,54756.7807
3,1,perimeter_only,73607.7768,55294.4831
3,1,popularity_rank,73392.4381,54850.2028
3,1,greedy_swap,73413.9702,54944.5434
3,1,oracle,74288.8373,55757.8726
3,1,random_search,74576.9116,54594.3639
3,1,simulated_annealing,74238.3837,54989.0065
3,1,GA,74658.7068,54584.5331
3,2,random_valid,73900.5892,54756.7807
3,2,perimeter_only,73491.7330,55294.4831
3,2,popularity_rank,73914.6519,54850.2028
3,2,greedy_swap,73988.1901,54944.5434
3,2,oracle,74308.6029,55757.8726
3,2,random_search,74711.4973,54665.7125
3,2,simulated_annealing,74499.4196,55191.4079
3,2,GA,75031.5074,54804.7141
3,3,random_valid,73317.6039,54756.7807
3,3,perimeter_only,73024.9510,55294.4831
3,3,popularity_rank,73209.6687,54850.2028
3,3,greedy_swap,73231.0669,54944.5434
3,3,oracle,73800.0220,55757.8726
3,3,random_search,74016.7686,54869.5622
3,3,simulated_annealing,73819.5073,55078.5588
3,3,GA,74202.7499,54628.4618
3,4,random_valid,74071.8522,54756.7807
3,4,perimeter_only,74074.3173,55294.4831
3,4,popularity_rank,73928.0948,54850.2028
3,4,greedy_swap,73949.7906,54944.5434
3,4,oracle,74528.3070,55757.8726
3,4,random_search,74575.2674,54869.0580
3,4,simulated_annealing,74393.6601,55116.6268
3,4,GA,74802.9769,54817.8007
3,5,random_valid,74001.3968,54756.7807
3,5,perimeter_only,74507.9105,55294.4831
3,5,popularity_rank,74203.2751,54850.2028
3,5,greedy_swap,74225.0481,54944.5434
3,5,oracle,74808.0320,55757.8726
3,5,random_search,75075.1426,54772.6053
3,5,simulated_annealing,74833.2331,55171.9168
3,5,GA,75267.0499,54703.2976
