scenario,search,setting,seed,heldout_fitness
1,sa,0.5|0.1|0.8,2,45069.638247
2,ga,0.18|20|40,0,49752.489376
2,ga,0.18|20|40,1,49835.128845
2,ga,0.18|20|40,2,49728.378450
2,ga,0.18|30|25,0,49693.219344
2,ga,0.18|30|25,1,49719.966065
2,ga,0.18|30|25,2,49851.945438
2,ga,0.18|45|15,0,49666.441478
2,ga,0.18|45|15,1,49812.372064
2,ga,0.18|45|15,2,49810.621269
2,ga,0.1|20|40,0,49735.046540
2,ga,0.1|20|40,1,49636.723646
2,ga,0.1|20|40,2,49831.644716
2,ga,0.1|30|25,0,49679.717809
2,ga,0.1|30|25,1,49735.024399
2,ga,0.1|30|25,2,49821.882147
2,ga,0.1|45|15,0,49694.102140
2,ga,0.1|45|15,1,49800.519168
2,ga,0.1|45|15,2,49799.493672
2,ga,0.3|20|40,0,49844.835026
2,ga,0.3|20|40,1,49694.058310
2,ga,0.3|20|40,2,49844.273097
2,ga,0.3|30|25,0,49719.650541
2,ga,0.3|30|25,1,49682.429051
2,ga,0.3|30|25,2,49812.427178
2,ga,0.3|45|15,0,49685.971016
2,ga,0.3|45|15,1,49791.817862
2,ga,0.3|45|15,2,49810.996340
2,sa,0.1|0.001|0.8,0,49753.284557
2,sa,0.1|0.001|0.8,1,49682.832097
2,sa,0.1|0.001|0.8,2,49714.225444
2,sa,0.1|0.01|0.8,0,49729.583159
2,sa,0.1|0.01|0.8,1,49755.071921
2,sa,0.1|0.01|0.8,2,49750.060605
2,sa,0.1|0.1|0.8,0,49658.895514
2,sa,0.1|0.1|0.8,1,49720.677836
2,sa,0.1|0.1|0.8,2,49694.622097
2,sa,0.25|0.001|0.8,0,49722.415368
2,sa,0.25|0.001|0.8,1,49853.705655
2,sa,0.25|0.001|0.8,2,49719.359232
2,sa,0.25|0.01|0.5,0,49738.691850
2,sa,0.25|0.01|0.5,1,49716.599900
2,sa,0.25|0.01|0.5,2,49732.491321
2,sa,0.25|0.01|0.8,0,49730.837177
2,sa,0.25|0.01|0.8,1,49728.491590
2,sa,0.25|0.01|0.8,2,49745.446944
2,sa,0.25|0.01|0.95,0,49612.019204
2,sa,0.25|0.01|0.95,1,49699.750671
2,sa,0.25|0.01|0.95,2,49655.520161
2,sa,0.25|0.1|0.8,0,49658.440572
2,sa,0.25|0.1|0.8,1,49722.379671
2,sa,0.25|0.1|0.8,2,49687.186768
2,sa,0.5|0.001|0.8,0,49866.897665
2,sa,0.5|0.001|0.8,1,49826.416072
2,sa,0.5|0.001|0.8,2,49905.116754
2,sa,0.5|0.01|0.8,0,49850.067872
2,sa,0.5|0.01|0.8,1,49857.103928
2,sa,0.5|0.01|0.8,2,49810.894314
2,sa,0.5|0.1|0.8,0,49768.575597
2,sa,0.5|0.1|0.8,1,49795.482351
2,sa,0.5|0.1|0.8,2,49761.299001
3,ga,0.18|20|40,0,74724.326122
3,ga,0.18|20|40,1,74877.190797
3,ga,0.18|20|40,2,74905.940880
3,ga,0.18|30|25,0,74787.558085
3,ga,0.18|30|25,1,74871.100052
3,ga,0.18|30|25,2,74892.715881
3,ga,0.18|45|15,0,74708.943228
3,ga,0.18|45|15,1,74675.528716
3,ga,0.18|45|15,2,74704.411791
3,ga,0.1|20|40,0,74705.370537
3,ga,0.1|20|40,1,74947.958272
3,ga,0.1|20|40,2,74884.984630
3,ga,0.1|30|25,0,74738.619195
3,ga,0.1|30|25,1,74837.189086
3,ga,0.1|30|25,2,74758.744829
3,ga,0.1|45|15,0,74702.187567
3,ga,0.1|45|15,1,74794.441733
3,ga,0.1|45|15,2,74854.934035
3,ga,0.3|20|40,0,74799.122701
3,ga,0.3|20|40,1,74870.217987
3,ga,0.3|20|40,2,74842.312500
3,ga,0.3|30|25,0,74720.609476
3,ga,0.3|30|25,1,74688.396408
3,ga,0.3|30|25,2,74699.844649
