scenario,seed,draw,comparator,w_traffic,w_cross_merch,w_impulse,w_flow,w_revenue_placement,lift30,lift30_default
0,0,0,popularity_rank,0.0009422384847904976,0.25991936211019895,0.2229559939707392,0.0013939769687223973,0.314788428465549,1012.3013521736139,919.475754478939
0,0,0,oracle,0.0009422384847904976,0.25991936211019895,0.2229559939707392,0.0013939769687223973,0.314788428465549,847.0365015541756,860.9329597388423
0,0,0,random_search,0.0009422384847904976,0.25991936211019895,0.2229559939707392,0.0013939769687223973,0.314788428465549,605.0481908800502,567.8438448710949
0,0,0,simulated_annealing,0.0009422384847904976,0.25991936211019895,0.2229559939707392,0.0013939769687223973,0.314788428465549,-115.20126899854222,-72.47424987416889
0,0,1,popularity_rank,0.12392409143849142,0.12169236621487785,0.3392801159534509,0.16032047622204743,0.05478295017113234,798.2168997484041,919.475754478939
0,0,1,oracle,0.12392409143849142,0.12169236621487785,0.3392801159534509,0.16032047622204743,0.05478295017113234,800.3053860858054,860.9329597388423
0,0,1,random_search,0.12392409143849142,0.12169236621487785,0.3392801159534509,0.16032047622204743,0.05478295017113234,402.253813675321,567.8438448710949
0,0,1,simulated_annealing,0.12392409143849142,0.12169236621487785,0.3392801159534509,0.16032047622204743,0.05478295017113234,-28.20837463339558,-72.47424987416889
0,0,2,popularity_rank,0.17559729025076665,0.17693275942652117,0.3040515962896165,0.05461991146263315,0.08879844257046265,895.5171019727568,919.475754478939
0,0,2,oracle,0.17559729025076665,0.17693275942652117,0.3040515962896165,0.05461991146263315,0.08879844257046265,824.0834859004535,860.9329597388423
0,0,2,random_search,0.17559729025076665,0.17693275942652117,0.3040515962896165,0.05461991146263315,0.08879844257046265,416.0926780490918,567.8438448710949
0,0,2,simulated_annealing,0.17559729025076665,0.17693275942652117,0.3040515962896165,0.05461991146263315,0.08879844257046265,-28.42653161760245,-72.47424987416889
0,0,3,popularity_rank,0.45253659468735163,0.04187530439299677,0.13863672627615684,0.11743179104361673,0.04951958359987812,1102.171916445579,919.475754478939
0,0,3,oracle,0.45253659468735163,0.04187530439299677,0.13863672627615684,0.11743179104361673,0.04951958359987812,1002.4099711364106,860.9329597388423
0,0,3,random_search,0.45253659468735163,0.04187530439299677,0.13863672627615684,0.11743179104361673,0.04951958359987812,587.7723574318807,567.8438448710949
0,0,3,simulated_annealing,0.45253659468735163,0.04187530439299677,0.13863672627615684,0.11743179104361673,0.04951958359987812,-36.34966490725492,-72.47424987416889
0,0,4,popularity_rank,0.34415977851258117,0.014284064560997385,0.2508838732956602,0.13582520118037877,0.054847082450382584,1043.0096639266849,919.475754478939
0,0,4,oracle,0.34415977851258117,0.014284064560997385,0.2508838732956602,0.13582520118037877,0.054847082450382584,972.407567052971,860.9329597388423
0,0,4,random_search,0.34415977851258117,0.014284064560997385,0.2508838732956602,0.13582520118037877,0.054847082450382584,551.9905868260976,567.8438448710949
0,0,4,simulated_annealing,0.34415977851258117,0.014284064560997385,0.2508838732956602,0.13582520118037877,0.054847082450382584,-42.25283584193676,-72.47424987416889
0,0,5,popularity_rank,0.01422544313234061,0.31745753879187316,0.07829001797099387,0.33327333222717836,0.05675366787761419,480.4696401731344,919.475754478939
0,0,5,oracle,0.01422544313234061,0.31745753879187316,0.07829001797099387,0.33327333222717836,0.05675366787761419,602.7290309338714,860.9329597388423
0,0,5,random_search,0.01422544313234061,0.31745753879187316,0.07829001797099387,0.33327333222717836,0.05675366787761419,355.9283067871147,567.8438448710949
0,0,5,simulated_annealing,0.01422544313234061,0.31745753879187316,0.07829001797099387,0.33327333222717836,0.05675366787761419,-19.232924672694935,-72.47424987416889
0,0,6,popularity_rank,0.24071782470209524,0.0704250526619257,0.08757080331568359,0.016626398609444454,0.3846599207108511,1390.1857268879685,919.475754478939
0,0,6,oracle,0.24071782470209524,0.0704250526619257,0.08757080331568359,0.016626398609444454,0.3846599207108511,1122.3338230893278,860.9329597388423
0,0,6,random_search,0.24071782470209524,0.0704250526619257,0.08757080331568359,0.016626398609444454,0.3846599207108511,916.935587916545,567.8438448710949
0,0,6,simulated_annealing,0.24071782470209524,0.0704250526619257,0.08757080331568359,0.016626398609444454,0.3846599207108511,-175.59041408175835,-72.47424987416889
0,0,7,popularity_rank,0.3309980038675448,0.04780710584929627,0.09991838506701137,0.2980383893541298,0.023238115862017857,877.2388567781527,919.475754478939
0,0,7,oracle,0.3309980038675448,0.04780710584929627,0.09991838506701137,0.2980383893541298,0.023238115862017857,902.677016324531,860.9329597388423
0,0,7,random_search,0.3309980038675448,0.04780710584929627,0.09991838506701137,0.2980383893541298,0.023238115862017857,559.3340904092038,567.8438448710949
0,0,7,simulated_annealing,0.3309980038675448,0.04780710584929627,0.09991838506701137,0.2980383893541298,0.023238115862017857,-37.948096163723676,-72.47424987416889
0,0,8,popularity_rank,0.060578947782529084,0.5092030328709191,0.015888051162304167,0.11121164376980208,0.10311832441444578,557.0262395874815,919.475754478939
0,0,8,oracle,0.060578947782529084,0.5092030328709191,0.015888051162304167,0.11121164376980208,0.10311832441444578,558.9540953097312,860.9329597388423
0,0,8,random_search,0.060578947782529084,0.5092030328709191,0.015888051162304167,0.11121164376980208,0.10311832441444578,286.58245063953655,567.8438448710949
0,0,8,simulated_annealing,0.060578947782529084,0.5092030328709191,0.015888051162304167,0.11121164376980208,0.10311832441444578,1.9308492912896327,-72.47424987416889
0,0,9,popularity_rank,0.3293852381993466,0.026076729937796014,0.16692750441673845,0.09984453351053375,0.1777659939355852,1190.4432770798667,919.475754478939
0,0,9,oracle,0.3293852381993466,0.026076729937796014,0.16692750441673845,0.09984453351053375,0.1777659939355852,1043.7550437200844,860.9329597388423
0,0,9,random_search,0.3293852381993466,0.026076729937796014,0.16692750441673845,0.09984453351053375,0.1777659939355852,708.274666955258,567.8438448710949
0,0,9,simulated_annealing,0.3293852381993466,0.026076729937796014,0.16692750441673845,0.09984453351053375,0.1777659939355852,-94.05749301508331,-72.47424987416889
