scenario,seed,draw,comparator,w_traffic,w_cross_merch,w_impulse,w_flow,w_revenue_placement,lift30,lift30_default
0,0,0,popularity_rank,0.0009422384847904976,0.25991936211019895,0.2229559939707392,0.0013939769687223973,0.314788428465549,107167.84826366903,93998.49749790659
0,0,0,oracle,0.0009422384847904976,0.25991936211019895,0.2229559939707392,0.0013939769687223973,0.314788428465549,92025.66031242312,88404.5033900781
0,0,0,random_search,0.0009422384847904976,0.25991936211019895,0.2229559939707392,0.0013939769687223973,0.314788428465549,69806.30236883937,62556.74775532639
0,0,0,simulated_annealing,0.0009422384847904976,0.25991936211019895,0.2229559939707392,0.0013939769687223973,0.314788428465549,-15573.804985943803,-8806.968785372272
0,0,1,popularity_rank,0.12392409143849142,0.12169236621487785,0.3392801159534509,0.16032047622204743,0.05478295017113234,76797.22091620276,93998.49749790659
0,0,1,oracle,0.12392409143849142,0.12169236621487785,0.3392801159534509,0.16032047622204743,0.05478295017113234,76287.86042080817,88404.5033900781
0,0,1,random_search,0.12392409143849142,0.12169236621487785,0.3392801159534509,0.16032047622204743,0.05478295017113234,41202.61864412004,62556.74775532639
0,0,1,simulated_annealing,0.12392409143849142,0.12169236621487785,0.3392801159534509,0.16032047622204743,0.05478295017113234,-2421.5043583111983,-8806.968785372272
0,0,2,popularity_rank,0.17559729025076665,0.17693275942652117,0.3040515962896165,0.05461991146263315,0.08879844257046265,88174.22880045444,93998.49749790659
0,0,2,oracle,0.17559729025076665,0.17693275942652117,0.3040515962896165,0.05461991146263315,0.08879844257046265,81716.25555623135,88404.5033900781
0,0,2,random_search,0.17559729025076665,0.17693275942652117,0.3040515962896165,0.05461991146263315,0.08879844257046265,44362.21944851657,62556.74775532639
0,0,2,simulated_annealing,0.17559729025076665,0.17693275942652117,0.3040515962896165,0.05461991146263315,0.08879844257046265,-2537.222172302674,-8806.968785372272
0,0,3,popularity_rank,0.45253659468735163,0.04187530439299677,0.13863672627615684,0.11743179104361673,0.04951958359987812,110841.6112976796,93998.49749790659
0,0,3,oracle,0.45253659468735163,0.04187530439299677,0.13863672627615684,0.11743179104361673,0.04951958359987812,102649.52285286479,88404.5033900781
0,0,3,random_search,0.45253659468735163,0.04187530439299677,0.13863672627615684,0.11743179104361673,0.04951958359987812,66208.36093492003,62556.74775532639
0,0,3,simulated_annealing,0.45253659468735163,0.04187530439299677,0.13863672627615684,0.11743179104361673,0.04951958359987812,-3805.0440491293266,-8806.968785372272
0,0,4,popularity_rank,0.34415977851258117,0.014284064560997385,0.2508838732956602,0.13582520118037877,0.054847082450382584,102969.05851549545,93998.49749790659
0,0,4,oracle,0.34415977851258117,0.014284064560997385,0.2508838732956602,0.13582520118037877,0.054847082450382584,97034.28736806207,88404.5033900781
0,0,4,random_search,0.34415977851258117,0.014284064560997385,0.2508838732956602,0.13582520118037877,0.054847082450382584,60618.53419852517,62556.74775532639
0,0,4,simulated_annealing,0.34415977851258117,0.014284064560997385,0.2508838732956602,0.13582520118037877,0.054847082450382584,-4532.352536155726,-8806.968785372272
0,0,5,popularity_rank,0.01422544313234061,0.31745753879187316,0.07829001797099387,0.33327333222717836,0.05675366787761419,45779.916893957816,93998.49749790659
0,0,5,oracle,0.01422544313234061,0.31745753879187316,0.07829001797099387,0.33327333222717836,0.05675366787761419,56227.89145547235,88404.5033900781
0,0,5,random_search,0.01422544313234061,0.31745753879187316,0.07829001797099387,0.33327333222717836,0.05675366787761419,34597.57217767161,62556.74775532639
0,0,5,simulated_annealing,0.01422544313234061,0.31745753879187316,0.07829001797099387,0.33327333222717836,0.05675366787761419,-1208.043225169342,-8806.968785372272
0,0,6,popularity_rank,0.24071782470209524,0.0704250526619257,0.08757080331568359,0.016626398609444454,0.3846599207108511,153263.04847009736,93998.49749790659
0,0,6,oracle,0.24071782470209524,0.0704250526619257,0.08757080331568359,0.016626398609444454,0.3846599207108511,130961.72928020751,88404.5033900781
0,0,6,random_search,0.24071782470209524,0.0704250526619257,0.08757080331568359,0.016626398609444454,0.3846599207108511,113191.74001062586,62556.74775532639
0,0,6,simulated_annealing,0.24071782470209524,0.0704250526619257,0.08757080331568359,0.016626398609444454,0.3846599207108511,-27259.206291379756,-8806.968785372272
0,0,7,popularity_rank,0.3309980038675448,0.04780710584929627,0.09991838506701137,0.2980383893541298,0.023238115862017857,87042.17379145091,93998.49749790659
0,0,7,oracle,0.3309980038675448,0.04780710584929627,0.09991838506701137,0.2980383893541298,0.023238115862017857,88388.44233715255,88404.5033900781
0,0,7,random_search,0.3309980038675448,0.04780710584929627,0.09991838506701137,0.2980383893541298,0.023238115862017857,59516.73490126473,62556.74775532639
0,0,7,simulated_annealing,0.3309980038675448,0.04780710584929627,0.09991838506701137,0.2980383893541298,0.023238115862017857,-3830.225961317643,-8806.968785372272
0,0,8,popularity_rank,0.060578947782529084,0.5092030328709191,0.015888051162304167,0.11121164376980208,0.10311832441444578,55502.753960571405,93998.49749790659
0,0,8,oracle,0.060578947782529084,0.5092030328709191,0.015888051162304167,0.11121164376980208,0.10311832441444578,54875.35231535985,88404.5033900781
0,0,8,random_search,0.060578947782529084,0.5092030328709191,0.015888051162304167,0.11121164376980208,0.10311832441444578,28530.340867828447,62556.74775532639
0,0,8,simulated_annealing,0.060578947782529084,0.5092030328709191,0.015888051162304167,0.11121164376980208,0.10311832441444578,1456.3944026229583,-8806.968785372272
0,0,9,popularity_rank,0.3293852381993466,0.026076729937796014,0.16692750441673845,0.09984453351053375,0.1777659939355852,123164.11903533293,93998.49749790659
0,0,9,oracle,0.3293852381993466,0.026076729937796014,0.16692750441673845,0.09984453351053375,0.1777659939355852,111224.65331957577,88404.5033900781
0,0,9,random_search,0.3293852381993466,0.026076729937796014,0.16692750441673845,0.09984453351053375,0.1777659939355852,82043.19007752414,62556.74775532639
0,0,9,simulated_annealing,0.3293852381993466,0.026076729937796014,0.16692750441673845,0.09984453351053375,0.1777659939355852,-12589.780046464904,-8806.968785372272
0,0,10,popularity_rank,0.31636384323154504,0.00829743187783434,0.31838839778993167,0.10828610386900309,0.04866422323168597,101181.14254433212,93998.49749790659
0,0,10,oracle,0.31636384323154504,0.00829743187783434,0.31838839778993167,0.10828610386900309,0.04866422323168597,95086.79014977664,88404.5033900781
0,0,10,random_search,0.31636384323154504,0.00829743187783434,0.31838839778993167,0.10828610386900309,0.04866422323168597,56230.445594731646,62556.74775532639
0,0,10,simulated_annealing,0.31636384323154504,0.00829743187783434,0.31838839778993167,0.10828610386900309,0.04866422323168597,-3801.6296088897507,-8806.968785372272
0,0,11,popularity_rank,0.07369015850543591,0.26621880345005117,0.22030913030508503,0.09247270239787682,0.1473092053415511,81137.43368925442,93998.49749790659
0,0,11,oracle,0.07369015850543591,0.26621880345005117,0.22030913030508503,0.09247270239787682,0.1473092053415511,75822.20680806536,88404.5033900781
