scenario,seed,method,mc_revenue,analytical_R
0,0,random_valid,72323.4972,50763.3829
0,0,perimeter_only,72131.7993,51159.7369
0,0,popularity_rank,72588.1277,51966.3847
0,0,greedy_swap,72588.1277,51966.3847
0,0,oracle,72526.5667,52428.2016
0,0,random_search,72990.7402,51740.8779
0,0,simulated_annealing,73267.5068,52182.5056
0,0,GA,73086.8086,51752.0422
0,1,random_valid,72380.1523,50763.3829
0,1,perimeter_only,72187.8071,51159.7369
0,1,popularity_rank,72646.3730,51966.3847
0,1,greedy_swap,72646.3730,51966.3847
0,1,oracle,72584.5545,52428.2016
0,1,random_search,73055.0715,51915.3493
0,1,simulated_annealing,73294.3592,52146.9309
0,1,GA,73285.9867,51628.3196
0,2,random_valid,72316.3200,50763.3829
0,2,perimeter_only,72124.3602,51159.7369
0,2,popularity_rank,72579.5362,51966.3847
0,2,greedy_swap,72579.5362,51966.3847
0,2,oracle,72517.4893,52428.2016
0,2,random_search,72963.0359,51935.8062
0,2,simulated_annealing,73239.5586,52206.8520
0,2,GA,73244.0164,51916.4881
0,3,random_valid,72276.4991,50763.3829
0,3,perimeter_only,72083.1769,51159.7369
0,3,popularity_rank,72540.0851,51966.3847
0,3,greedy_swap,72540.0851,51966.3847
0,3,oracle,72478.4982,52428.2016
0,3,random_search,72935.6431,51876.6890
0,3,simulated_annealing,73257.1444,51980.4198
0,3,GA,73193.4812,51854.4303
0,4,random_valid,72315.9585,50763.3829
0,4,perimeter_only,72124.0271,51159.7369
0,4,popularity_rank,72582.3086,51966.3847
0,4,greedy_swap,72582.3086,51966.3847
0,4,oracle,72519.8523,52428.2016
0,4,random_search,72963.4638,51854.2150
0,4,simulated_annealing,73245.1297,52166.7116
0,4,GA,73250.0141,51803.7900
0,5,random_valid,72322.2197,50763.3829
0,5,perimeter_only,72131.5751,51159.7369
0,5,popularity_rank,72587.5102,51966.3847
0,5,greedy_swap,72587.5102,51966.3847
0,5,oracle,72525.2953,52428.2016
0,5,random_search,72976.8410,51874.0646
0,5,simulated_annealing,73225.1084,52157.2802
0,5,GA,73074.6678,51729.3767
0,6,random_valid,72288.5465,50763.3829
0,6,perimeter_only,72095.9841,51159.7369
0,6,popularity_rank,72551.2312,51966.3847
0,6,greedy_swap,72551.2312,51966.3847
0,6,oracle,72490.4963,52428.2016
0,6,random_search,72939.3179,51647.8933
0,6,simulated_annealing,73202.9669,52178.5776
0,6,GA,73227.3646,51889.2513
0,7,random_valid,72325.5656,50763.3829
0,7,perimeter_only,72132.9288,51159.7369
0,7,popularity_rank,72591.2225,51966.3847
0,7,greedy_swap,72591.2225,51966.3847
0,7,oracle,72529.0177,52428.2016
0,7,random_search,72975.9163,51895.6605
0,7,simulated_annealing,73250.4015,52240.5128
0,7,GA,73267.4923,51832.7166
0,8,random_valid,72372.9292,50763.3829
0,8,perimeter_only,72181.0584,51159.7369
0,8,popularity_rank,72637.2527,51966.3847
0,8,greedy_swap,72637.2527,51966.3847
0,8,oracle,72575.8705,52428.2016
0,8,random_search,73010.4668,52170.7636
0,8,simulated_annealing,73309.5394,52180.5061
0,8,GA,73291.1079,51764.4160
0,9,random_valid,72295.2595,50763.3829
0,9,perimeter_only,72102.1281,51159.7369
0,9,popularity_rank,72559.0497,51966.3847
0,9,greedy_swap,72559.0497,51966.3847
0,9,oracle,72496.5270,52428.2016
0,9,random_search,73022.4162,51929.5020
0,9,simulated_annealing,73273.4009,52076.2723
0,9,GA,73109.1848,51890.9991
1,0,random_valid,109594.2806,76911.7561
1,0,perimeter_only,109238.8041,77054.0942
1,0,popularity_rank,109646.0939,76691.6466
