scenario,variant,wall_coef,spearman_rho,spearman_p,n_layouts,fitness_ga,fitness_oracle,analytical_ga,analytical_oracle,gap_fitness_pct,gap_analytical_pct,reversal
0,as_now,0.0,0.34456645664566454,0.00044728294076554437,100,53724.89793012179,53241.50507314803,51759.784246049494,52531.85621067113,0.9079248535698468,1.491644480107287,True
0,wall_aligned,1.5,0.36049204920492045,0.00022934743847467207,100,53842.35580041424,53271.29778062489,51901.01975473944,52531.85621067113,1.0719806792412103,1.2154606189102568,True
1,as_now,0.0,0.46349834983498345,1.1959633658906607e-06,100,80665.26135548105,80258.37747907538,77125.20981238452,78148.77885531276,0.5069674832533861,1.3271523609701468,True
1,wall_aligned,1.5,0.47504350435043496,5.917593762000358e-07,100,80636.58072887988,80310.98331307001,77493.03082884435,78148.77885531276,0.40542078104139,0.8462025803542725,True
2,as_now,0.0,0.47577557755775574,5.654437105103299e-07,100,68585.36068475906,68250.95021354963,60808.053688172746,61168.538884807036,0.4899718907401195,0.5928247571989058,True
2,wall_aligned,1.5,0.4716231623162316,7.308723930550889e-07,100,68515.16236455021,68250.24900432772,60567.1938715421,61168.538884807036,0.38815002741703125,0.9928559915460831,True
3,as_now,0.0,0.24,0.01616850431363819,100,56446.54752586556,56185.19860941742,54335.4666197669,55272.32120732537,0.4651561673118842,1.7242045496994884,True
3,wall_aligned,1.5,0.2422202220222022,0.015181404340495122,100,56329.1141971345,56216.77216680828,54248.58704096006,55272.32120732537,0.19983721226980505,1.8871167383444325,True
4,as_now,0.0,0.5687728772877286,6.678249871537269e-10,100,78010.97128112696,77743.99914814897,96254.19468714291,96869.35709180901,0.3433990223081318,0.6391019182754346,True
4,wall_aligned,1.5,0.5663006300630062,8.213692791918535e-10,100,77908.9826985529,77730.94617469287,95789.61625275676,96869.35709180901,0.22904201302260643,1.1272002971628696,True
5,as_now,0.0,0.4561536153615361,1.8466352088811293e-06,100,68610.59497234803,68339.75650215127,79876.54553832838,80090.94027438624,0.39631172842740975,0.26840762155266734,True
5,wall_aligned,1.5,0.4474767476747674,3.0456848678463263e-06,100,68551.50666821918,68351.02705960118,79934.0475140964,80090.94027438624,0.29330884588344797,0.19627776294222984,True
6,as_now,0.0,0.7207800780078008,2.788711382961481e-17,100,64655.49696427692,64332.95898045261,70479.31797583874,71372.3674671327,0.5013572963779143,1.2671085886502345,True
6,wall_aligned,1.5,0.7218721872187218,2.3706897084069173e-17,100,64645.73945624352,64386.18866827573,70287.220789883,71372.3674671327,0.4031156267146393,1.5438747827199646,True
7,as_now,0.0,0.5605640564056404,1.319037212146055e-09,100,65163.90204264008,64669.38741987148,65814.33396759113,66695.1031943223,0.7646811613629914,1.3382635265516714,True
7,wall_aligned,1.5,0.5628922892289229,1.0895249873176996e-09,100,65069.39624686246,64676.05763616692,65915.03571561507,66695.1031943223,0.6081672647832842,1.1834439141818431,True
8,as_now,0.0,0.6778277827782777,9.507522001459967e-15,100,73700.32736276621,73495.64020789723,71583.22059506344,72182.71104471604,0.278502444893306,0.8374734255725035,True
8,wall_aligned,1.5,0.6845124512451244,4.096449274670404e-15,100,73646.85326872046,73527.98264150784,71561.76374856605,72182.71104471604,0.1616671951849663,0.8677082056441455,True
9,as_now,0.0,0.34999099909990994,0.00035766608019884905,100,59601.328118312995,59627.814610976115,63969.69079902259,64960.24620025694,-0.04441969378875124,1.5484761437200572,False
9,wall_aligned,1.5,0.3564956495649565,0.00027209698900321043,100,59556.79218761388,59654.39740391681,63902.084422401065,64960.24620025694,-0.16361780614771945,1.6559112076239728,False
10,as_now,0.0,0.40668466846684664,2.684671931770695e-05,100,50774.27515158325,50569.754780829004,51759.170918349795,52260.623224306706,0.4044321979425133,0.9688182732833049,True
10,wall_aligned,1.5,0.419069906990699,1.428034055413753e-05,100,50732.28100573715,50588.04121788333,51793.20875671506,52260.623224306706,0.285126255892341,0.9024628494967419,True
11,as_now,0.0,0.44973297329732964,2.677643463027929e-06,100,65062.099676178485,64865.52302658289,59638.58764868308,60835.08779510559,0.3030525931549763,2.006251646116785,True
11,wall_aligned,1.5,0.45236123612361234,2.3019298609903313e-06,100,65032.69237167601,64897.67397476773,60328.43801800098,60835.08779510559,0.2080481296768423,0.8398191528735246,True
12,as_now,0.0,0.15128712871287128,0.13296458952668283,100,59621.99394250468,59147.1442079143,74625.81177663762,74972.42383330176,0.8028278304040981,0.46446671521855853,True
12,wall_aligned,1.5,0.1501350135013501,0.13597751324172755,100,59573.25937062065,59195.75127363168,74623.44318398375,74972.42383330176,0.6377283654091122,0.4676555173922992,True
13,as_now,0.0,0.6039363936393638,2.8947672103903437e-11,100,81616.9071574086,81134.62062560972,88793.38476583887,90095.71047981344,0.5944275428665097,1.4666922737645294,True
13,wall_aligned,1.5,0.6128052805280527,1.2331159815033875e-11,100,81675.04726762805,81179.29441298256,89190.15910454573,90095.71047981344,0.6106887947602092,1.0153041370923555,True
14,as_now,0.0,0.5291809180918091,1.5115078518191475e-08,100,44791.95926799113,44394.569403502755,43334.23817878491,43665.00016810001,0.8951317015297361,0.763280960312415,True
14,wall_aligned,1.5,0.5397419741974196,6.839902639059578e-09,100,44748.39295869786,44414.943755901244,43316.43187668598,43665.00016810001,0.7507590342322898,0.8047022257196477,True
15,as_now,0.0,0.6748154815481546,1.3795208951045655e-14,100,66174.1736034293,65570.10732835022,68297.77058191218,68975.85877951443,0.9212525336494344,0.9928408963056745,True
15,wall_aligned,1.5,0.6866846684668466,3.1008645338489873e-15,100,66100.84002014626,65635.91970897674,68273.77715551239,68975.85877951443,0.7083321346466012,1.0283327702858023,True
16,as_now,0.0,0.5126072607260725,4.973326990320678e-08,100,64814.425301499316,64606.79607603193,70034.05310252772,70763.2886975988,0.3213736604784364,1.041258591736078,True
16,wall_aligned,1.5,0.5183438343834382,3.3169215758182007e-08,100,64801.878966156284,64629.485111728434,69949.47051808418,70763.2886975988,0.26674180388382085,1.1634372261677237,True
17,as_now,0.0,0.7432943294329432,8.319752130334098e-19,100,77139.62939124684,76997.20620237335,85932.97768456246,86264.99360407847,0.18497189170625247,0.38636612911838386,True
17,wall_aligned,1.5,0.7407500750075007,1.2599191611220557e-18,100,77079.97318518424,77012.52558474411,86095.34054810488,86264.99360407847,0.0875800396468017,0.19705254069910086,True
18,as_now,0.0,0.4936933693369336,1.7958112564884818e-07,100,45106.18011902046,45064.30146254028,51359.90959479124,51818.97371970934,0.09293089013038236,0.89381801591928,True
18,wall_aligned,1.5,0.5139033903390339,4.5413436240695375e-08,100,45079.01402365794,45077.71004842595,51567.12900178072,51818.97371970934,0.0028927273159802037,0.48838227530550793,True
19,as_now,0.0,-0.2923012301230123,0.003167492393514238,100,46970.92561849236,46541.203664629495,53945.192738513826,54521.41161784271,0.9233150843269757,1.068156123052449,True
19,wall_aligned,1.5,-0.30295829582958295,0.002185173395772472,100,46953.13894704366,46565.647826257395,53948.42620242591,54521.41161784271,0.8321394394254937,1.0620984813659555,True
20,as_now,0.0,0.5173357335733573,3.563559863414148e-08,100,88478.8690181623,87874.82072812089,86985.10601650414,87702.87332420508,0.6873963269982573,0.8251611575489174,True
20,wall_aligned,1.5,0.5233363336333633,2.3172576673058404e-08,100,88416.0311228392,87908.01373426638,87193.844524983,87702.87332420508,0.5778965614084741,0.5837898328662817,True
21,as_now,0.0,0.6143894389438944,1.055808886719138e-11,100,49800.72669292271,49715.13562033019,51647.476871446925,51957.72448061774,0.17216300735086285,0.6007023536561857,True
21,wall_aligned,1.5,0.6176537653765376,7.646620444219038e-12,100,49789.425763130836,49749.04608365765,51641.27042284933,51957.72448061774,0.0811667411778716,0.6127929370776869,True
22,as_now,0.0,0.5360216021602159,9.072145011807643e-09,100,73438.16068085494,73103.1236583381,72011.16540945906,72206.59184220145,0.4583073961144345,0.27138351619666695,True
22,wall_aligned,1.5,0.5501830183018301,3.0390597698552794e-09,100,73399.14434653246,73108.3915950921,71998.04035773508,72206.59184220145,0.39770092748132835,0.2896627233604486,True
23,as_now,0.0,0.41072907290729066,2.1905491815346645e-05,100,64632.50096934934,64378.91404804948,63420.04759289492,63838.902109019895,0.393897481884508,0.6604449728793588,True
23,wall_aligned,1.5,0.4212661266126612,1.273463485051481e-05,100,64583.31199295981,64387.94177154212,63114.906312377796,63838.902109019895,0.30342672252343544,1.147107456769071,True
24,as_now,0.0,0.5425022502250224,5.534489649281555e-09,100,72575.87209518891,72343.66373618762,88878.22036339555,89811.70164378747,0.3209795398918079,1.0502924975041166,True
24,wall_aligned,1.5,0.5528952895289528,2.450346980819736e-09,100,72510.41647281001,72397.92788022138,89222.3257188889,89811.70164378747,0.1553754311514831,0.6605700088512702,True
25,as_now,0.0,0.6105370537053705,1.5377448754135362e-11,100,83888.530047262,83329.33734484026,96971.16245049646,97140.76069211954,0.6710634216466249,0.17489554351755152,True
25,wall_aligned,1.5,0.6103330333033303,1.568451615299038e-11,100,83841.91624251654,83309.7582651483,97013.54111778014,97140.76069211954,0.6387702814771801,0.1311358938902609,True
26,as_now,0.0,0.28118811881188116,0.004597730460839453,100,62629.29672825979,62115.33076745384,64025.40493117292,64665.453666585345,0.8274381774285766,0.9996793243252068,True
26,wall_aligned,1.5,0.2875967596759676,0.003715335435869406,100,62602.134973087326,62137.84070644053,64346.3025555274,64665.453666585345,0.7472005164136155,0.4959898212994207,True
27,as_now,0.0,0.1954995499549955,0.05126325633018498,100,68799.83600958575,68315.5967197081,81244.67390477881,82879.81953449165,0.7088268464731845,2.012618859950464,True
27,wall_aligned,1.5,0.19447944794479446,0.05251364314944016,100,68837.66983721161,68372.28799373099,81506.82910647232,82879.81953449165,0.6806585784042897,1.6845096822817054,True
28,as_now,0.0,0.5202040204020402,2.9039696139063007e-08,100,66285.82923304915,65972.68115550665,66769.29003047566,67586.9164681907,0.474663257666257,1.2245546378310228,True
28,wall_aligned,1.5,0.5285328532853285,1.5854759325694294e-08,100,66248.14667247102,66007.42108148594,67055.98776604718,67586.9164681907,0.3646947374112742,0.7917692659988578,True
29,as_now,0.0,0.7385898589858985,1.785367043993363e-18,100,39201.04350740545,39116.84692723078,42175.737973130104,42584.84451983729,0.21524378059228885,0.9700044773794387,True
29,wall_aligned,1.5,0.7424662466246624,9.528024065801193e-19,100,39185.073778170765,39139.3410833586,42077.37988225957,42584.84451983729,0.11684584754444792,1.206027178968123,True
