replicate,n_invoices,n_absent_fixtures,anchor_score,stocked_invoice_share,whole_level_asbuilt,whole_level_ga,whole_level_rs,whole_level_sa,whole_lift,whole_pct_lift,stocked_level_asbuilt,stocked_level_ga,stocked_level_rs,stocked_level_sa,stocked_lift,stocked_pct_lift,whole_ga_minus_rs_gbp,whole_ga_minus_rs_pct,whole_ga_minus_sa_gbp,whole_ga_minus_sa_pct,stocked_ga_minus_rs_gbp,stocked_ga_minus_rs_pct,stocked_ga_minus_sa_gbp,stocked_ga_minus_sa_pct
57,38815,0,0.4401651075,0.794564,772363.260205,785686.748728,782638.003720,782644.004074,13323.488524,1.725029,16713.464781,17001.776859,16935.803896,16935.933740,288.312078,1.725029,3048.745008,0.389547,3042.744654,0.388778,65.972962,0.389547,65.843118,0.388778
58,39048,0,0.4291465595,0.798760,758246.732173,771951.489365,774228.328489,765409.677282,13704.757192,1.807427,16753.582225,17056.391017,17106.698140,16911.848638,302.808791,1.807427,-2276.839123,-0.294079,6541.812083,0.854681,-50.307123,-0.294079,144.542379,0.854681
59,39642,0,0.4262691217,0.799430,830733.188035,842105.888618,840631.099783,839141.701265,11372.700583,1.368996,17468.047124,17707.183916,17676.173140,17644.855162,239.136792,1.368996,1474.788836,0.175438,2964.187354,0.353240,31.010776,0.175438,62.328754,0.353240
60,38017,0,0.4274979016,0.796565,742577.650624,755662.094376,758048.776097,749213.390593,13084.443752,1.762030,16497.198362,16787.884008,16840.906828,16644.618794,290.685646,1.762030,-2386.681721,-0.314845,6448.703782,0.860730,-53.022821,-0.314845,143.265213,0.860730
61,38454,0,0.4416571526,0.795288,770904.372652,784259.925126,781398.995815,780299.076054,13355.552474,1.732453,16551.240776,16837.983169,16776.559299,16752.944130,286.742393,1.732453,2860.929311,0.366129,3960.849072,0.507607,61.423870,0.366129,85.039039,0.507607
62,39211,0,0.4390920662,0.794394,807986.491124,822587.398160,820272.628448,818361.499978,14600.907036,1.807073,16613.145972,16913.357674,16865.763305,16826.468272,300.211702,1.807073,2314.769712,0.282195,4225.898182,0.516385,47.594369,0.282195,86.889402,0.516385
63,39086,0,0.4238882900,0.799877,759463.605941,770767.195176,768608.559012,768007.404677,11303.589235,1.488365,17491.902374,17752.245698,17702.528170,17688.682433,260.343324,1.488365,2158.636164,0.280850,2759.790499,0.359344,49.717528,0.280850,63.563264,0.359344
64,39084,0,0.4394407379,0.787637,841234.139419,856379.074592,853799.335438,851933.278092,15144.935173,1.800323,16850.845750,17154.215471,17102.540457,17065.161274,303.369721,1.800323,2579.739154,0.302148,4445.796501,0.521848,51.675015,0.302148,89.054197,0.521848
65,39714,0,0.4296506995,0.799768,804650.824193,818983.999173,821254.303207,812163.040676,14333.174979,1.781291,17505.463677,17817.286975,17866.678244,17668.894607,311.823298,1.781291,-2270.304034,-0.276443,6820.958497,0.839851,-49.391268,-0.276443,148.392368,0.839851
66,40533,0,0.4367661033,0.790738,786656.905243,801069.481750,799270.681553,797780.755325,14412.576507,1.832130,17663.318037,17986.932971,17946.543343,17913.089062,323.614934,1.832130,1798.800196,0.225055,3288.726425,0.412234,40.389628,0.225055,73.843909,0.412234
67,38402,0,0.4298514445,0.797693,745004.229247,757799.066859,760350.319818,751675.027870,12794.837612,1.717418,16816.428843,17105.237239,17162.824783,16967.003841,288.808396,1.717418,-2551.252960,-0.335537,6124.038989,0.814719,-57.587544,-0.335537,138.233398,0.814719
68,38521,0,0.4370116247,0.789154,719689.268816,732954.905560,731307.978700,729217.163828,13265.636745,1.843245,16582.112940,16887.761914,16849.815639,16801.641892,305.648974,1.843245,1646.926861,0.225203,3737.741733,0.512569,37.946275,0.225203,86.120022,0.512569
69,39957,0,0.4246650980,0.803689,765153.223370,776130.159208,774267.313581,773751.953734,10976.935838,1.434606,17524.888402,17776.301543,17733.635367,17721.831687,251.413141,1.434606,1862.845626,0.240595,2378.205473,0.307360,42.666176,0.240595,54.469856,0.307360
70,39950,0,0.4393968023,0.795670,847600.489505,863098.902667,860619.651702,858678.907368,15498.413162,1.828505,17275.178347,17591.055762,17540.525467,17500.970624,315.877415,1.828505,2479.250965,0.288077,4419.995299,0.514744,50.530295,0.288077,90.085138,0.514744
71,37956,0,0.4378943943,0.797292,749371.917158,763044.491825,760825.646502,759108.603962,13672.574667,1.824538,16629.381153,16932.790516,16883.551915,16845.448866,303.409362,1.824538,2218.845323,0.291637,3935.887863,0.518488,49.238601,0.291637,87.341650,0.518488
72,38968,0,0.4416087164,0.802736,773349.466026,786813.008021,784604.713073,783378.663016,13463.541994,1.740939,17028.263124,17324.714788,17276.090680,17249.094472,296.451663,1.740939,2208.294947,0.281453,3434.345004,0.438402,48.624107,0.281453,75.620315,0.438402
73,38245,0,0.4281100955,0.785018,763348.471784,769674.709628,770959.842849,767630.909356,6326.237843,0.828748,16281.977786,16416.914408,16444.325887,16373.320805,134.936622,0.828748,-1285.133221,-0.166693,2043.800272,0.266248,-27.411479,-0.166693,43.593604,0.266248
74,37566,0,0.4387980741,0.794735,730115.669318,743277.287388,740909.763978,739969.014592,13161.618070,1.802676,16434.227162,16730.482989,16677.192231,16656.016834,296.255827,1.802676,2367.523410,0.319543,3308.272796,0.447083,53.290758,0.319543,74.466155,0.447083
75,39241,0,0.4238245210,0.797712,747708.555745,758463.726716,757506.391402,755988.498992,10755.170971,1.438418,16891.311540,17134.279127,17112.652186,17078.361828,242.967587,1.438418,957.335314,0.126380,2475.227724,0.327416,21.626941,0.126380,55.917299,0.327416
76,40495,0,0.4398225211,0.798173,781763.326152,796033.649161,793243.623027,792297.701401,14270.323009,1.825402,17248.233945,17563.083544,17501.526521,17480.656422,314.849599,1.825402,2790.026134,0.351724,3735.947760,0.471533,61.557024,0.351724,82.427122,0.471533
77,40574,0,0.4399760067,0.795928,789029.824471,803167.348244,800990.509141,798912.505445,14137.523773,1.791760,17654.125976,17970.445611,17921.739984,17875.245748,316.319635,1.791760,2176.839104,0.271768,4254.842799,0.532579,48.705626,0.271768,95.199862,0.532579
78,38701,0,0.4286278350,0.793959,713982.588077,727219.805464,729135.398938,720435.216751,13237.217386,1.853997,16889.929042,17203.067858,17248.383022,17042.572037,313.138816,1.853997,-1915.593475,-0.262721,6784.588713,0.941735,-45.315164,-0.262721,160.495821,0.941735
79,39932,0,0.4388338336,0.794451,748448.959116,762405.846293,759531.036774,758588.982995,13956.887177,1.864775,16975.147213,17291.695472,17226.493544,17205.127356,316.548258,1.864775,2874.809520,0.378498,3816.863298,0.503153,65.201928,0.378498,86.568116,0.503153
80,38364,0,0.4283110090,0.794130,687101.489038,698976.482997,701574.043474,693574.566716,11874.993959,1.728274,16858.792796,17150.158869,17213.892880,17017.616896,291.366073,1.728274,-2597.560477,-0.370248,5401.916281,0.778852,-63.734011,-0.370248,132.541973,0.778852
81,40827,0,0.4274353281,0.792515,820702.065493,836217.436846,838155.528563,828829.441532,15515.371353,1.890500,17840.522130,18177.797175,18219.927650,18017.196027,337.275045,1.890500,-1938.091717,-0.231233,7387.995313,0.891377,-42.130475,-0.231233,160.601148,0.891377
82,40666,0,0.4403314956,0.791423,816377.247524,831081.310453,828322.593685,827242.334847,14704.062928,1.801136,17429.351286,17743.277573,17684.379994,17661.316869,313.926287,1.801136,2758.716767,0.333049,3838.975605,0.464069,58.897579,0.333049,81.960705,0.464069
83,39924,0,0.4374678253,0.786945,798565.154299,813349.362868,811457.891349,809601.251266,14784.208569,1.851347,16908.776818,17221.816877,17181.766958,17142.454558,313.040059,1.851347,1891.471518,0.233095,3748.111601,0.462958,40.049919,0.233095,79.362319,0.462958
84,42399,0,0.4344925225,0.792448,892337.397580,909966.885311,907908.257916,905615.530822,17629.487731,1.975653,18183.125257,18542.360658,18500.412086,18453.693273,359.235402,1.975653,2058.627395,0.226744,4351.354489,0.480486,41.948572,0.226744,88.667385,0.480486
85,37310,0,0.4233052547,0.792871,693673.116920,706400.370421,710610.585913,701447.422514,12727.253501,1.834762,16280.748093,16579.461137,16678.276351,16463.213735,298.713044,1.834762,-4210.215492,-0.592479,4952.947907,0.706104,-98.815214,-0.592479,116.247401,0.706104
86,39799,0,0.4383038030,0.803990,771541.246302,785881.663530,782987.773057,782183.986399,14340.417228,1.858671,17472.759068,17797.520260,17731.983581,17713.780575,324.761192,1.858671,2893.890473,0.369596,3697.677131,0.472738,65.536679,0.369596,83.739686,0.472738
87,38711,0,0.4289023392,0.787296,794902.075191,809154.089367,811573.768471,802084.867714,14252.014176,1.792927,16294.983510,16587.140674,16636.742546,16442.226157,292.157164,1.792927,-2419.679104,-0.298147,7069.221653,0.881356,-49.601872,-0.298147,144.914517,0.881356
88,40085,0,0.4381380029,0.801173,766568.857155,780677.223462,778803.610881,777409.760575,14108.366307,1.840456,17505.250799,17827.427324,17784.641790,17752.812034,322.176525,1.840456,1873.612581,0.240576,3267.462887,0.420301,42.785534,0.240576,74.615290,0.420301
89,40978,0,0.4390839633,0.798843,805659.043950,820660.365275,817224.047168,816103.326706,15001.321325,1.861994,17620.400923,17948.491693,17873.336696,17848.825653,328.090770,1.861994,3436.318107,0.420487,4557.038569,0.558390,75.154997,0.420487,99.666040,0.558390
90,39242,0,0.4259264808,0.794506,765040.918878,774964.404604,774106.469159,772476.197402,9923.485726,1.297118,16852.761653,17071.361908,17052.462812,17016.550247,218.600255,1.297118,857.935445,0.110829,2488.207202,0.322108,18.899096,0.110829,54.811660,0.322108
91,37547,0,0.4249476622,0.792820,715950.064012,728028.073825,732784.796017,723290.744203,12078.009813,1.686991,16200.303955,16473.601549,16581.235236,16366.406671,273.297594,1.686991,-4756.722192,-0.649129,4737.329622,0.654969,-107.633687,-0.649129,107.194878,0.654969
92,39216,0,0.4259809555,0.791310,760348.410016,771124.672987,769470.982062,768722.559409,10776.262970,1.417280,16497.563641,16731.380247,16695.499496,16679.260690,233.816605,1.417280,1653.690924,0.214913,2402.113578,0.312481,35.880750,0.214913,52.119556,0.312481
93,37628,0,0.4341160584,0.786941,716486.675701,728932.989631,729267.255020,726646.788820,12446.313930,1.737131,16698.067001,16988.134341,16995.924557,16934.853330,290.067340,1.737131,-334.265389,-0.045836,2286.200811,0.314623,-7.790216,-0.045836,53.281011,0.314623
94,38824,0,0.4232930253,0.795178,806029.824801,818164.626114,816924.243408,815028.289932,12134.801313,1.505503,16779.357410,17031.971100,17006.149693,16966.681077,252.613690,1.505503,1240.382705,0.151836,3136.336182,0.384813,25.821408,0.151836,65.290023,0.384813
95,38476,0,0.4273115501,0.794573,757399.638971,771563.895901,772995.799692,764685.253491,14164.256930,1.870117,16178.131571,16480.681507,16511.267114,16333.753021,302.549936,1.870117,-1431.903791,-0.185241,6878.642410,0.899539,-30.585607,-0.185241,146.928486,0.899539
96,39265,0,0.4398615420,0.786604,781705.579740,795224.883555,793270.672421,791569.153022,13519.303815,1.729462,16810.623076,17101.356476,17059.331054,17022.739782,290.733400,1.729462,1954.211134,0.246349,3655.730533,0.461833,42.025422,0.246349,78.616694,0.461833
97,39765,0,0.4247166969,0.798743,796959.926753,808593.638788,807260.977145,805887.424924,11633.712034,1.459761,17408.794437,17662.921269,17633.810605,17603.806728,254.126832,1.459761,1332.661642,0.165084,2706.213864,0.335805,29.110664,0.165084,59.114542,0.335805
98,37977,0,0.4313831689,0.793849,695019.217377,706214.385088,705114.235627,703135.837854,11195.167712,1.610771,16277.886737,16540.086209,16514.319859,16467.984256,262.199472,1.610771,1100.149462,0.156024,3078.547234,0.437831,25.766350,0.156024,72.101953,0.437831
99,40254,0,0.4361080892,0.789959,819008.874536,834445.216476,831688.675919,830071.278379,15436.341940,1.884759,17111.962523,17434.481745,17376.887963,17343.094866,322.519222,1.884759,2756.540557,0.331439,4373.938097,0.526935,57.593782,0.331439,91.386879,0.526935
100,39603,0,0.4301111670,0.785673,813308.480153,827699.846483,830276.034892,820694.891862,14391.366330,1.769484,16835.420151,17133.320277,17186.647170,16988.318279,297.900126,1.769484,-2576.188409,-0.310281,7004.954621,0.853539,-53.326893,-0.310281,145.001997,0.853539
101,37667,0,0.4351958219,0.799320,703112.105292,715995.583140,714523.533358,712483.096941,12883.477848,1.832350,16486.442373,16788.531774,16754.015424,16706.171649,302.089402,1.832350,1472.049782,0.206018,3512.486199,0.492992,34.516351,0.206018,82.360126,0.492992
102,38669,0,0.4381443941,0.799788,717026.875273,729984.418395,727667.978158,726629.168028,12957.543122,1.807121,16878.054637,17183.061504,17128.534949,17104.082457,305.006867,1.807121,2316.440237,0.318338,3355.250366,0.461756,54.526554,0.318338,78.979047,0.461756
103,39603,0,0.4258913332,0.800848,746153.683146,756355.771575,755674.238496,753663.384600,10202.088428,1.367291,17488.662434,17727.783254,17711.809196,17664.677961,239.120820,1.367291,681.533078,0.090189,2692.386975,0.357240,15.974058,0.090189,63.105293,0.357240
104,39770,0,0.4384364346,0.800402,777873.216169,792112.371569,789874.025202,788486.068980,14239.155399,1.830524,17195.959468,17510.735622,17461.253890,17430.571205,314.776154,1.830524,2238.346367,0.283380,3626.302589,0.459907,49.481731,0.283380,80.164416,0.459907
105,38237,0,0.4388133224,0.797526,749144.492377,762844.180091,760564.136559,759024.218368,13699.687714,1.828711,16746.208095,17052.447844,17001.480262,16967.057276,306.239749,1.828711,2280.043532,0.299783,3819.961723,0.503273,50.967582,0.299783,85.390568,0.503273
106,41003,0,0.4245554960,0.795820,857735.204663,870182.929311,868741.183240,867080.629615,12447.724648,1.451232,17685.879488,17942.542566,17912.814805,17878.575390,256.663078,1.451232,1441.746071,0.165958,3102.299695,0.357787,29.727761,0.165958,63.967176,0.357787
107,40296,0,0.4379782761,0.791865,805087.594033,819711.913826,817524.108378,815919.234419,14624.319793,1.816488,17281.435270,17595.350474,17548.388604,17513.939526,313.915203,1.816488,2187.805447,0.267614,3792.679406,0.464835,46.961869,0.267614,81.410947,0.464835
108,41930,0,0.4398335621,0.793084,876062.261729,892029.586822,889183.442916,887780.124124,15967.325093,1.822624,18221.815047,18553.930305,18494.731422,18465.542839,332.115259,1.822624,2846.143906,0.320085,4249.462698,0.478662,59.198884,0.320085,88.387466,0.478662
109,40217,0,0.4368899028,0.791233,862736.712955,879123.573471,876791.519469,875156.804714,16386.860516,1.899405,17456.868604,17788.445163,17741.257696,17708.180397,331.576559,1.899405,2332.054002,0.265976,3966.768757,0.453264,47.187467,0.265976,80.264767,0.453264
110,39846,0,0.4367100839,0.792074,778077.115500,792775.222427,790228.642181,788978.253324,14698.106927,1.889030,16944.863690,17264.957178,17209.498080,17182.267272,320.093489,1.889030,2546.580246,0.322259,3796.969103,0.481251,55.459098,0.322259,82.689906,0.481251
111,40251,0,0.4384170636,0.794241,803788.900080,818337.761271,816198.556737,814669.793807,14548.861191,1.810035,17588.036999,17906.386642,17859.577824,17826.126330,318.349642,1.810035,2139.204534,0.262094,3667.967464,0.450240,46.808818,0.262094,80.260311,0.450240
112,41233,0,0.4386957615,0.790847,774286.474426,788451.354268,785887.236477,784529.086341,14164.879842,1.829411,17297.250743,17613.688504,17556.407136,17526.066604,316.437761,1.829411,2564.117791,0.326270,3922.267927,0.499952,57.281368,0.326270,87.621900,0.499952
